url,label
https://www.google.com/,0
https://www.amazon.com/login,0
https://github.com/openai,0
https://www.microsoft.com/en-us/,0
https://www.paypal.com/home,0
https://www.bankofamerica.com/security,0
https://www.linkedin.com/in/johndoe,0
https://www.apple.com/store,0
https://www.wikipedia.org/,0
https://stackoverflow.com/questions,0
http://paypal-login-security-alert.com,1
http://verify-account-amazon.biz/login,1
http://secure-facebook-login-update.ru,1
http://bankofamerica-login-confirm.net,1
http://google-account-reset-now.xyz,1
http://microsoft-support-verification.top,1
http://appleid-reset-alert.org,1
http://login-update-github.io,1
http://secure-banking-update-alert.cn,1
http://free-gift-cards-claim-now.info,1
