Timestamp,Packet_Count
2026-01-01 00:00:00,51.0
2026-01-01 00:01:00,51.0
2026-01-01 00:02:00,55.0
2026-01-01 00:03:00,59.0
2026-01-01 00:04:00,55.0
2026-01-01 00:05:00,56.0
2026-01-01 00:06:00,63.0
2026-01-01 00:07:00,62.0
2026-01-01 00:08:00,59.0
2026-01-01 00:09:00,63.0
2026-01-01 00:10:00,60.0
2026-01-01 00:11:00,60.0
2026-01-01 00:12:00,63.0
2026-01-01 00:13:00,56.0
2026-01-01 00:14:00,57.0
2026-01-01 00:15:00,60.0
2026-01-01 00:16:00,58.0
2026-01-01 00:17:00,61.0
2026-01-01 00:18:00,56.0
2026-01-01 00:19:00,54.0
2026-01-01 00:20:00,61.0
2026-01-01 00:21:00,55.0
2026-01-01 00:22:00,54.0
2026-01-01 00:23:00,48.0
2026-01-01 00:24:00,50.0
2026-01-01 00:25:00,50.0
2026-01-01 00:26:00,45.0
2026-01-01 00:27:00,48.0
2026-01-01 00:28:00,43.0
2026-01-01 00:29:00,43.0
2026-01-01 00:30:00,171.0
2026-01-01 00:31:00,177.0
2026-01-01 00:32:00,170.0
2026-01-01 00:33:00,166.0
2026-01-01 00:34:00,171.0
2026-01-01 00:35:00,35.0
2026-01-01 00:36:00,39.0
2026-01-01 00:37:00,32.0
2026-01-01 00:38:00,34.0
2026-01-01 00:39:00,39.0
2026-01-01 00:40:00,41.0
2026-01-01 00:41:00,40.0
2026-01-01 00:42:00,40.0
2026-01-01 00:43:00,40.0
2026-01-01 00:44:00,38.0
2026-01-01 00:45:00,41.0
2026-01-01 00:46:00,43.0
2026-01-01 00:47:00,49.0
2026-01-01 00:48:00,49.0
2026-01-01 00:49:00,44.0
2026-01-01 00:50:00,52.0
2026-01-01 00:51:00,51.0
2026-01-01 00:52:00,52.0
2026-01-01 00:53:00,57.0
2026-01-01 00:54:00,60.0
2026-01-01 00:55:00,61.0
2026-01-01 00:56:00,56.0
2026-01-01 00:57:00,59.0
2026-01-01 00:58:00,62.0
2026-01-01 00:59:00,64.0
2026-01-01 01:00:00,60.0
2026-01-01 01:01:00,61.0
2026-01-01 01:02:00,59.0
2026-01-01 01:03:00,58.0
2026-01-01 01:04:00,64.0
2026-01-01 01:05:00,65.0
2026-01-01 01:06:00,60.0
2026-01-01 01:07:00,63.0
2026-01-01 01:08:00,60.0
2026-01-01 01:09:00,55.0
2026-01-01 01:10:00,57.0
2026-01-01 01:11:00,59.0
2026-01-01 01:12:00,53.0
2026-01-01 01:13:00,57.0
2026-01-01 01:14:00,43.0
2026-01-01 01:15:00,211.0
2026-01-01 01:16:00,208.0
2026-01-01 01:17:00,205.0
2026-01-01 01:18:00,45.0
2026-01-01 01:19:00,37.0
2026-01-01 01:20:00,41.0
2026-01-01 01:21:00,42.0
2026-01-01 01:22:00,44.0
2026-01-01 01:23:00,38.0
2026-01-01 01:24:00,36.0
2026-01-01 01:25:00,37.0
2026-01-01 01:26:00,41.0
2026-01-01 01:27:00,39.0
2026-01-01 01:28:00,37.0
2026-01-01 01:29:00,40.0
2026-01-01 01:30:00,39.0
2026-01-01 01:31:00,43.0
2026-01-01 01:32:00,39.0
2026-01-01 01:33:00,41.0
2026-01-01 01:34:00,42.0
2026-01-01 01:35:00,40.0
2026-01-01 01:36:00,46.0
2026-01-01 01:37:00,48.0
2026-01-01 01:38:00,48.0
2026-01-01 01:39:00,49.0
